,Combined,,,DAPI,,Tubulin,,Actin,
Epoch,NSC,NSCB,Mean Loss,NSCB,Loss,NSCB,Loss,NSCB,Loss
10,0.835,0.696,10.706,0.62,10.92,0.793,10.604,0.576,10.593
15,0.903,0.728,10.449,0.663,10.709,0.804,10.313,0.543,10.325
20,0.961,0.826,10.128,0.674,10.419,0.772,10.109,0.641,9.856
25,0.961,0.935,9.613,0.685,9.63,0.815,9.549,0.707,9.661
30,0.981,0.946,8.998,0.728,9.171,0.859,8.571,0.696,9.251
35,0.981,0.967,8.699,0.717,8.957,0.837,8.246,0.717,8.893
40,0.99,0.967,8.433,0.761,8.908,0.88,7.894,0.739,8.496
45,0.99,0.978,8.289,0.783,8.817,0.891,7.569,0.739,8.481
50,0.99,0.967,7.912,0.793,8.475,0.902,7.132,0.75,8.13
55,1,0.978,7.918,0.815,8.4,0.88,7.165,0.772,8.188
60,0.981,0.957,7.839,0.804,8.266,0.837,7.218,0.717,8.032
65,0.99,0.967,7.701,0.826,8.291,0.891,7.309,0.772,7.503
70,0.99,0.989,7.711,0.826,8.208,0.913,7.165,0.761,7.759
75,0.99,0.989,7.533,0.837,8.024,0.924,6.893,0.75,7.683
80,0.99,1,7.581,0.826,7.927,0.935,7.174,0.761,7.641
85,0.99,0.989,7.498,0.837,7.949,0.902,7.011,0.772,7.534
90,0.99,1,7.473,0.826,7.825,0.935,7.12,0.783,7.473
95,0.99,0.989,7.376,0.837,7.642,0.924,7.164,0.793,7.321
100,0.99,0.989,7.252,0.848,7.475,0.946,6.926,0.804,7.356
105,0.99,0.978,7.191,0.848,7.46,0.946,6.81,0.793,7.302
110,0.99,0.989,7.052,0.859,7.189,0.967,6.898,0.804,7.07
115,1,1,7.052,0.837,7.133,0.946,6.927,0.804,7.095
120,1,1,7.038,0.837,7.134,0.978,6.913,0.804,7.067
125,0.99,1,6.999,0.848,7.231,0.957,6.658,0.804,7.109
130,0.99,1,6.968,0.87,7.103,0.935,6.775,0.815,7.025
135,1,0.989,6.913,0.848,7.112,0.967,6.594,0.837,7.032
140,1,0.989,6.876,0.848,7.046,0.978,6.498,0.836,7.084
145,1,0.989,6.825,0.87,7.057,0.967,6.537,0.837,6.881
150,1,1,6.629,0.87,6.814,0.978,6.666,0.837,6.408
155,1,0.978,6.595,0.87,6.75,0.957,6.518,0.804,6.516
160,0.99,0.989,6.535,0.859,6.759,0.978,6.475,0.815,6.37
165,1,0.989,6.426,0.848,6.756,0.978,6.324,0.826,6.198
170,1,1,6.434,0.848,6.741,0.978,6.429,0.815,6.132
175,1,0.989,6.419,0.837,6.744,0.967,6.518,0.826,5.994
180,1,0.989,6.435,0.87,6.691,0.967,6.551,0.804,6.063
185,1,1,6.356,0.859,6.679,0.967,6.409,0.815,5.98
190,0.99,1,6.394,0.891,6.739,0.957,6.353,0.815,6.089
195,0.99,0.989,6.281,0.869,6.605,0.978,6.377,0.804,5.862
200,1,1,6.281,0.848,6.661,0.967,6.273,0.815,5.91
205,0.99,0.989,6.313,0.88,6.672,0.967,6.437,0.826,5.831
210,0.99,0.989,6.26,0.902,6.533,0.978,6.545,0.837,5.703
215,0.99,0.989,6.32,0.902,6.508,0.967,6.55,0.826,5.903
220,0.99,0.989,6.34,0.902,6.493,0.967,6.581,0.848,5.946
225,1,0.989,6.245,0.88,6.388,0.978,6.617,0.826,5.73
230,0.99,0.989,6.261,0.891,6.461,0.967,6.549,0.848,5.773
235,0.99,0.989,6.234,0.88,6.388,0.967,6.663,0.837,5.65
240,0.99,0.989,6.252,0.913,6.473,0.967,6.572,0.815,5.712
245,0.99,0.989,6.235,0.88,6.468,0.957,6.527,0.826,5.71
250,0.99,0.989,6.088,0.913,6.426,0.967,6.398,0.815,5.439
255,0.99,0.989,6.075,0.88,6.416,0.967,6.425,0.837,5.385
260,0.99,0.989,6.134,0.913,6.423,0.967,6.492,0.837,5.486
265,0.99,0.989,6.194,0.924,6.397,0.967,6.541,0.826,5.645
270,0.99,0.989,6.302,0.913,6.44,0.957,6.704,0.826,5.763
275,0.99,0.989,6.255,0.935,6.341,0.946,6.659,0.826,5.766
280,0.99,0.989,6.251,0.924,6.289,0.957,6.764,0.837,5.7
